anio,sem,enfermedad,casos,cie
2005,01,colera,0,a00
2005,01,dengue clasico,0,a90
2005,01,enfermedad febril exantematica,3,u97
2005,01,fiebre del oeste del nilo,0,a92.3
2005,01,paludismo por p. falciparum,0,b50
2005,01,paralisis flacida aguda,0,u98
2005,01,sida,4,b20-b24
2005,01,tetanos neonatal,0,a33
2005,01,tetanos,0,a34
2005,01,tos ferina,0,a37
2005,02,colera,0,a00
2005,02,dengue clasico,4,a90
2005,02,enfermedad febril exantematica,0,u97
2005,02,fiebre del oeste del nilo,0,a92.3
2005,02,paludismo por p. falciparum,0,b50
2005,02,paralisis flacida aguda,2,u98
2005,02,sida,6,b20-b24
2005,02,tetanos neonatal,0,a33
2005,02,tetanos,0,a34
2005,03,brucelosis,28,a23
2005,03,colera,0,a00
2005,03,dengue clasico,8,a90
2005,03,enfermedad febril exantematica,6,u97
2005,03,enfermedades infecciosas intestinales,82719,a01-a03
2005,03,escarlatina,168,a38
2005,03,fiebre del oeste del nilo,0,a92.3
2005,03,fiebre reumatica aguda,54,i00-i02
2005,03,fiebre tifoidea,472,a01.0
2005,03,hepatitis virica a,349,b15
2005,03,hepatitis virica b,6,b16
2005,03,hepatitis virica c,24,b17.1
2005,03,infeccion asintomatica por vih,49,z21
2005,03,infeccion gonococica genitourinaria,28,a54.0-a54.2
2005,03,infeccion intestinal debida a virus y otros organismos,66279,a04 a08-a09
2005,03,infecciones respiratorias agudas,549745,j00-j06
2005,03,intoxicacion alimentaria bacteriana,645,a05
2005,03,intoxicacion por animales venenosos,374,t63 excepto t63.2
2005,03,intoxicacion por plaguicidas,41,t60
2005,03,intoxicacion por veneno de escorpion,2266,t63.2
2005,03,leptospirosis,0,a27
2005,03,meningitis tuberculosa,1,a17.0
2005,03,mordeduras por perro,2030,w54
2005,03,mordeduras por serpiente,23,x20
2005,03,neumonias y bronconeumonias,3790,j12
2005,03,paludismo por p. falciparum,0,b50
2005,03,paludismo por p. vivax,35,b51
2005,03,paralisis flacida aguda,0,u98
2005,03,parotiditis infecciosa,134,b26
2005,03,rubeola congenita,0,p35.0
2005,03,rubeola,6,b06
2005,03,shigelosis,266,a03
2005,03,sida,4,b20-b24
2005,03,sifilis adquirida,36,a51-a53
2005,03,sifilis congenita,1,a50
2005,03,tetanos neonatal,0,a33
2005,03,tetanos,0,a34
2005,03,tos ferina,0,a37
2005,03,tuberculosis respiratoria,164,a15-a16
2005,03,varicela,5492,b01
2005,04,brucelosis,46,a23
2005,04,colera,0,a00
2005,04,dengue clasico,34,a90
2005,04,enfermedad febril exantematica,30,u97
2005,04,enfermedades infecciosas intestinales,87406,a01-a03
2005,04,escarlatina,113,a38
2005,04,fiebre del oeste del nilo,0,a92.3
2005,04,fiebre reumatica aguda,21,i00-i02
2005,04,fiebre tifoidea,466,a01.0
2005,04,hepatitis virica a,327,b15
2005,04,hepatitis virica b,4,b16
2005,04,hepatitis virica c,25,b17.1
2005,04,infeccion asintomatica por vih,54,z21
2005,04,infeccion gonococica genitourinaria,18,a54.0-a54.2
2005,04,infeccion intestinal debida a virus y otros organismos,69037,a04 a08-a09
2005,04,infecciones respiratorias agudas,596514,j00-j06
2005,04,intoxicacion alimentaria bacteriana,596,a05
2005,04,intoxicacion por animales venenosos,346,t63 excepto t63.2
2005,04,intoxicacion por plaguicidas,46,t60
2005,04,intoxicacion por veneno de escorpion,2349,t63.2
2005,04,leptospirosis,1,a27
2005,04,meningitis tuberculosa,2,a17.0
2005,04,mordeduras por perro,2046,w54
2005,04,mordeduras por serpiente,25,x20
2005,04,neumonias y bronconeumonias,4713,j12
2005,04,paludismo por p. falciparum,0,b50
2005,04,paludismo por p. vivax,35,b51
2005,04,paralisis flacida aguda,0,u98
2005,04,parotiditis infecciosa,139,b26
2005,04,rubeola congenita,0,p35.0
2005,04,rubeola,9,b06
2005,04,shigelosis,249,a03
2005,04,sida,46,b20-b24
2005,04,sifilis adquirida,22,a51-a53
2005,04,sifilis congenita,1,a50
2005,04,tetanos neonatal,0,a33
2005,04,tetanos,0,a34
2005,04,tos ferina,0,a37
2005,04,tuberculosis respiratoria,219,a15-a16
2005,04,varicela,6528,b01
2005,05,brucelosis,39,a23
2005,05,colera,0,a00
2005,05,conjuntivitis,2567,b30
2005,05,dengue clasico,28,a90
2005,05,enfermedad febril exantematica,5,u97
2005,05,escarlatina,100,a38
2005,05,fiebre del oeste del nilo,0,a92.3
2005,05,fiebre reumatica aguda,11,i00-i02
2005,05,fiebre tifoidea,436,a01.0
2005,05,hepatitis virica a,325,b15
2005,05,hepatitis virica b,11,b16
2005,05,hepatitis virica c,20,b17.1
2005,05,infeccion gonococica genitourinaria,14,a54.0-a54.2
2005,05,infecciones respiratorias agudas,549467,j00-j06
2005,05,intoxicacion por plaguicidas,34,t60
2005,05,intoxicacion por veneno de escorpion,2276,t63.2
2005,05,leptospirosis,0,a27
2005,05,meningitis meningococica,2,a39.0
2005,05,meningitis tuberculosa,5,a17.0
2005,05,meningitis,22,g00-g03
2005,05,mordeduras por perro,2049,w54
2005,05,mordeduras por serpiente,35,x20
2005,05,paludismo por p. falciparum,0,b50
2005,05,paludismo por p. vivax,5,b51
2005,05,rubeola congenita,0,p35.0
2005,05,rubeola,11,b06
2005,05,shigelosis,329,a03
2005,05,sida,28,b20-b24
2005,05,sifilis adquirida,46,a51-a53
2005,05,sifilis congenita,2,a50
2005,05,tetanos neonatal,0,a33
2005,05,tetanos,5,a34
2005,05,tuberculosis respiratoria,222,a15-a16
2005,05,varicela,5931,b01
